course_name,difficulty,prerequisite,preference,year_of_study,department
Mathematics 1 (Calculus),Hard,Intro to Basic and Applied Sciences,Math,2,Basic and Applied Sciences
Mathematics 2 (Integration),Hard,Intro to Basic and Applied Sciences,Math,4,Basic and Applied Sciences
Mathematics 3 (Differential Equations),Hard,Intro to Basic and Applied Sciences,Math,4,Basic and Applied Sciences
Physics 1 (Mechanics),Medium,Intro to Basic and Applied Sciences,Physics,2,Basic and Applied Sciences
Physics 2 (Electricity),Hard,None,Physics,3,Basic and Applied Sciences
Engineering Chemistry,Medium,Intro to Basic and Applied Sciences,Chemistry,2,Basic and Applied Sciences
Engineering Mechanics 1,Medium,Intro to Basic and Applied Sciences,Physics,2,Basic and Applied Sciences
Engineering Mechanics 2,Hard,None,Physics,3,Basic and Applied Sciences
Introduction to Computer Engineering,Easy,None,Hardware/Software,4,CSE
Computer Programming (C/C++),Medium,Intro to CSE,Programming,4,CSE
Object-Oriented Programming,Medium,None,Programming,4,CSE
Data Structures and Algorithms,Hard,Intro to CSE,Programming,2,CSE
Artificial Intelligence,Hard,Intro to CSE,AI,4,CSE
Electrical Circuits 1,Medium,Intro to EE,Circuits,2,EE
Electrical Circuits 2,Hard,None,Circuits,4,EE
Digital Electronics,Medium,Intro to EE,Electronics,4,EE
Engineering Thermodynamics,Hard,None,Thermal,4,ME
Fluid Mechanics,Hard,Intro to ME,Fluids,2,ME
Machine Design 1,Medium,Intro to ME,Design,2,ME
Structural Analysis 1,Medium,None,Structures,1,CE
Surveying,Medium,Intro to CE,Field Work,4,CE
Production Engineering,Medium,Intro to PE,Manufacturing,2,PE
Operations Research,Hard,Intro to PE,Optimization,2,PE
Architectural Design 1,Hard,Intro to Architecture,Design,1,Architecture
History of Architecture,Medium,Intro to Architecture,History,4,Architecture
Technical Report Writing,Easy,Intro to Humanities,Soft Skills,3,Humanities
Engineering Economy,Medium,None,Management,3,Humanities
Advanced Web Development,Easy,Programming 1,Management,4,CSE
Experimental Electrical Power,Easy,Programming 1,Practical,5,EE
Computational Solid Mechanics 3,Easy,Programming 1,Management,1,ME
Principles of Material Science,Easy,Intro to PE,Management,3,PE
Fundamentals of Properties of Materials 1,Easy,Calculus,Software,1,CE
Experimental Interior Design 2,Medium,None,Math,1,Architecture
Principles of Thermodynamics of Materials 3,Hard,Intro to Basic and Applied Sciences,Software,1,Basic and Applied Sciences
Entrepreneurship 2,Medium,Physics,Math,1,Humanities
Principles of Compiler Design,Easy,Physics,Practical,3,CSE
Power Electronics 2,Easy,Intro to EE,Practical,1,EE
Fundamentals of Nanotechnology 1,Easy,Calculus,Theory,3,ME
Applied Quality Control 2,Medium,Calculus,Design,5,PE
Experimental Geotechnical Engineering 3,Medium,Intro to CE,Software,2,CE
Experimental Parametric Design 1,Hard,Calculus,Management,1,Architecture
Introduction to Biophysics,Medium,Calculus,Programming,5,Basic and Applied Sciences
Contemporary Public Speaking 1,Easy,Calculus,Practical,2,Humanities
Experimental Network Security 2,Medium,Intro to CSE,Management,5,CSE
Contemporary VLSI Design 3,Medium,Calculus,Research,1,EE
Refrigeration and Air Conditioning 1,Hard,Calculus,Field Work,5,ME
Operations Management 1,Medium,Physics,Field Work,3,PE
Fundamentals of Properties of Materials 2,Hard,Intro to CE,Programming,4,CE
Introduction to Lighting Design 1,Hard,Physics,Research,4,Architecture
Modern Physics 3,Hard,None,Field Work,3,Basic and Applied Sciences
Experimental Public Speaking 2,Medium,None,Practical,5,Humanities
Applied Software Engineering 3,Easy,Intro to CSE,Field Work,2,CSE
Fundamentals of Radar Systems 2,Medium,Intro to EE,Field Work,3,EE
Computational Tribology 3,Hard,Intro to ME,Research,2,ME
Contemporary Reliability Engineering,Hard,None,Math,3,PE
Principles of Foundation Engineering,Medium,Intro to CE,Design,5,CE
Contemporary Urban Sociology 1,Medium,Calculus,Management,3,Architecture
Fundamentals of Inorganic Chemistry 1,Easy,Calculus,Research,3,Basic and Applied Sciences
Theoretical Engineering Law 2,Hard,None,Field Work,2,Humanities
Theoretical Computer Networks 3,Medium,Physics,Field Work,2,CSE
Contemporary Digital Signal Processing,Easy,Physics,Programming,4,EE
Experimental Turbomachinery 1,Easy,None,Research,4,ME
Theoretical Material Science,Hard,Physics,Hardware,1,PE
Computational Construction Management 1,Hard,Programming 1,Theory,5,CE
Fundamentals of Building Construction 3,Hard,None,Theory,5,Architecture
